City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Ketchikan,1,US,1543881360,88,55.34,-131.65,35.06,5.82
Koulikoro,0,ML,1543881600,28,12.86,-7.56,73.4,6.93
Georgetown,40,GY,1543881600,88,6.8,-58.16,75.2,4.7
Hermanus,0,ZA,1543883230,95,-34.42,19.24,44.63,0.96
Busselton,32,AU,1543883231,100,-33.64,115.35,64.93,14.16
Punta Arenas,20,CL,1543881600,91,-53.16,-70.91,48.2,40.26
Puerto Ayora,75,EC,1543881600,65,-0.74,-90.35,77.0,12.75
Mataura,32,NZ,1543883232,82,-46.19,168.86,62.95,2.71
Cape Town,20,ZA,1543878000,67,-33.93,18.42,60.8,3.36
Guerrero Negro,8,MX,1543883237,54,27.97,-114.04,69.83,4.27
Golfito,92,CR,1543883237,100,8.64,-83.17,75.73,5.88
Butaritari,48,KI,1543883237,100,3.07,172.79,85.18,3.31
Corlu,90,AZ,1543881600,93,40.93,47.73,46.4,3.36
Hithadhoo,100,MV,1543883238,100,-0.6,73.08,81.35,8.08
Praia da Vitoria,20,PT,1543878000,67,38.73,-27.07,60.8,32.95
Aksarka,92,RU,1543883238,87,66.56,67.8,14.03,14.79
Rosarito,40,CO,1543881600,88,4.91,-75.23,71.6,0.58
Avarua,40,CK,1543881600,14,-21.21,-159.78,129.2,9.17
Kisanga,8,CD,1543883239,92,-11.72,27.4,63.22,3.27
Nanortalik,80,GL,1543881000,68,60.14,-45.24,28.4,10.29
Nome,1,US,1543882500,59,30.04,-94.42,59.0,3.36
Hilo,20,US,1543881180,64,19.71,-155.08,80.06,10.29
Port Elizabeth,40,US,1543881360,73,39.31,-74.98,50.18,3.36
Albany,75,US,1543881240,61,42.65,-73.75,41.0,13.87
Vaini,20,IN,1543881600,82,15.34,74.49,66.2,4.99
Tasiilaq,0,GL,1543881000,53,65.61,-37.64,21.2,10.29
Belyy Yar,75,RU,1543881600,76,53.6,91.39,-5.81,6.71
Castro,90,CL,1543881600,82,-42.48,-73.76,57.2,5.82
Coahuayana,0,MX,1543883242,51,18.62,-100.35,75.82,2.08
Morgan City,1,US,1543881360,49,29.7,-91.21,62.06,8.05
Yakeshi,0,CN,1543883242,48,49.28,120.73,-9.64,11.36
Brufut,0,GM,1543881600,83,13.38,-16.75,69.8,5.82
Kaitangata,64,NZ,1543883243,85,-46.28,169.85,65.51,3.6
Fallon,90,US,1543881360,88,46.84,-105.12,28.94,8.05
Vestmannaeyjar,80,IS,1543883243,100,63.44,-20.27,31.58,17.47
Kapit,76,MY,1543883243,93,2.02,112.94,74.96,2.71
Breves,88,BR,1543883244,100,-1.68,-50.48,76.18,4.21
Namibe,0,AO,1543883244,100,-15.19,12.15,69.97,2.82
Esperance,20,TT,1543881600,83,10.24,-61.45,77.0,5.21
Rikitea,92,PF,1543883245,99,-23.12,-134.97,78.65,11.88
Bredasdorp,0,ZA,1543878000,82,-34.53,20.04,59.0,2.24
Severo-Kurilsk,8,RU,1543883245,100,50.68,156.12,26.05,5.88
Port Alfred,88,ZA,1543883245,96,-33.59,26.89,64.84,6.29
Kodiak,90,US,1543881300,84,39.95,-94.76,28.4,11.41
Lebu,20,ET,1543881600,66,8.96,38.73,53.6,2.24
Port Shepstone,76,ZA,1543883246,100,-30.74,30.45,67.63,10.8
Mgachi,44,RU,1543883246,100,51.05,142.27,27.08,9.35
Coquimbo,0,CL,1543881600,72,-29.95,-71.34,60.8,6.93
Ushuaia,40,AR,1543881600,61,-54.81,-68.31,48.2,5.82
Ayan,56,TR,1543883247,79,40.67,33.6,25.15,1.48
Energetik,68,RU,1543883247,100,51.74,58.8,13.4,6.29
Tingi,44,TZ,1543883247,100,-11.3,35.03,77.08,2.53
Dikson,76,RU,1543883248,87,73.51,80.55,-2.67,39.21
Tura,0,IN,1543883248,85,25.52,90.21,54.71,4.61
Longyearbyen,75,NO,1543881000,69,78.22,15.63,35.6,24.16
Atuona,36,PF,1543883248,100,-9.8,-139.03,78.43,8.86
Saint Paul,90,US,1543881300,71,44.95,-93.1,26.6,6.93
Ancud,90,CL,1543881600,82,-41.87,-73.83,57.2,5.82
Raudeberg,92,NO,1543881000,75,61.99,5.14,41.0,36.91
Vila Franca do Campo,75,PT,1543879800,72,37.72,-25.43,62.6,14.99
Sorland,80,NO,1543883249,100,67.67,12.69,43.06,10.87
Nikolskoye,90,RU,1543881600,92,59.7,30.79,28.4,8.95
Itarema,36,BR,1543883250,92,-2.92,-39.92,77.75,4.88
Hazorasp,90,UZ,1543881600,68,41.32,61.08,28.4,6.93
Kidal,0,ML,1543883250,41,18.44,1.41,62.05,10.8
Tuktoyaktuk,90,CA,1543881600,85,69.44,-133.03,14.0,11.41
Pathein,0,MM,1543883251,90,16.78,94.73,71.32,3.31
Seoul,90,KR,1543881600,87,37.57,126.98,48.92,4.7
